first_name,last_name,trail_ID,date_,email,message,latitude,longitude
Iona,Neale,1,2018-05-20,IonaNeale@yahoo.com,in middle of trail,38.881075,-76.95359
Lela,Sheahan,7,2018-06-03,LelaSheahan@gmail.com,,38.810638,-77.584199
Chung,Schwalb,8,2019-05-22,ChungSchwalb@aol.com,,38.678724,-77.251166
Brittney,Eberhard,55,2019-08-08,BrittneyEberhard@yahoo.com,on the turn,39.220449,-76.756939
Mauricio,Clawson,60,2018-05-04,MauricioClawson@gmail.com,,39.128021,-77.277257
Marita,Lan,45,2019-05-08,MaritaLan@aol.com,,39.2495,-77.4255
Jonathon,Sassano,22,2019-05-05,JonathonSassano@yahoo.com,,38.815492,-77.226998
Darius,Saba,47,2019-06-20,DariusSaba@gmail.com,,39.039284,-77.011769
Tracy,Strobel,7,2019-07-04,TracyStrobel@aol.com,,38.805826,-77.593103
Bobby,Teller,16,2018-07-09,BobbyTeller@gmail.com,,38.702306,-77.238066
Vonda,Hedgecock,15,2018-05-04,VondaHedgecock@aol.com,bike wheel got caught in this,38.965057,-77.321264
Carlton,Manson,33,2019-08-04,CarltonManson@yahoo.com,,39.084393,-76.92144
Ettie,Briceno,22,2019-05-05,EttieBriceno@gmail.com,blocks entire trail,38.827674,-77.224244
Salvador,Serrao,25,2018-10-01,SalvadorSerrao@aol.com,,39.268245,-76.792389
Tabatha,Radosevich,54,2018-09-09,TabathaRadosevich@yahoo.com,looks like the storm washed it out,39.306381,-77.589008
Mora,Romero,45,2019-05-04,MoraRomero@gmail.com,,39.25153,-77.424486
Williemae,Caulkins,37,2018-05-20,WilliemaeCaulkins@aol.com,,39.54359,-77.622322
Tequila,Grow,24,2019-07-25,TequilaGrow@yahoo.com,,39.006901,-76.610102
Lamont,Easterwood,19,2018-04-27,LamontEasterwood@gmail.com,,38.769032,-77.06045
Claribel,Kaur,44,2019-07-19,ClaribelKaur@aol.com,,39.425063,-76.597842
Prince,Webb,29,2019-07-16,PrinceWebb@yahoo.com,,38.637236,-76.814437
Lurlene,Kull,20,2018-05-30,LurleneKull@gmail.com,,38.565514,-77.353394
Marilyn,Muldowney,11,2019-06-06,MarilynMuldowney@aol.com,part of the trail is gone,39.229055,-77.552288
Trinh,Nolen,43,2019-05-04,TrinhNolen@gmail.com,,39.473585,-76.408148
Tera,Tomasi,49,2019-08-04,TeraTomasi@aol.com,,39.322575,-76.842673
Thresa,Comacho,34,2019-05-22,ThresaComacho@yahoo.com,,39.470461,-77.494423
Stacie,Ranallo,34,2018-08-31,StacieRanallo@gmail.com,large tree fell,39.462308,-77.495789
Bev,Cottingham,29,2019-04-30,BevCottingham@aol.com,,38.632709,-76.814427
Davina,Pavlik,39,2019-04-20,DavinaPavlik@yahoo.com,,39.655123,-77.000793
Taryn,Remer,60,2018-08-31,TarynRemer@gmail.com,,39.13411,-77.266072
Tashina,Longfellow,32,2019-07-26,TashinaLongfellow@aol.com,,39.699421,-77.374521
Bert,Hassan,14,2018-07-09,BertHassan@yahoo.com,,38.796291,-77.2169
Kiera,Kilroy,14,2019-05-08,KieraKilroy@gmail.com,bike got caught,38.79799,-77.231003
Nathalie,Lowder,28,2019-05-24,NathalieLowder@aol.com,,39.035808,-77.148344
Deedra,Pohlmann,29,2018-05-20,DeedraPohlmann@yahoo.com,,38.638051,-76.827446
